question,answer
Practical Activities column overview for Inpatient Health Care Assistant,"
    Get users to Log in to PowerChart and configure CareCompass to RBH – Level 3 – C18A
    Show users the Activities column and complete relevant activities upon admission.
    Click the number within Activities and explain each of the following tabs:
        >   Scheduled/Unscheduled tasks due in next 2, 4, or 12 hours. If wording is in red, means overdue; if in black this means still within timeframe. Mention that most of these assessments are for the nurse to complete – some are interdisciplinary, i.e. for other job roles to complete instead. Tasks will disappear once completed
        >   PRN/Continuous – prescribed medication as the situation calls for it and continuous meds. NB - other non-meds tasks will also appear here such as catheters.
        >   Plans of Care, i.e. assigned patient care plans and relevant info
        >   Patient Info
    "
Assessments /Fluid Balance – Record Measurements for Inpatient Health Care Assistant,"
        >   Click on the patient to take the delegates in to the patient record
        >   Click the Left Menu and select Assessments/Fluid Balance
        >   Explain the Navigator Bands. This view will display various patient assessments and where observations can be viewed. Each band is split into many assessments for example Vital Signs, and others.
        >   Click on Adult Quick View to select the Measurements Assessment 
            Ensure you double click the blue banner before recording any assessments as this will activate the values within that section.
        >   Demo completing a height and weight for your patient – explain as you enter values the system will auto calculate the BMI 
        >   Explain to delegates that any recorded data not yet saved in the record appear in purple. Once the assessment has been signed at end of process this will change to black 
        >   Click the Green tick (sign) to save details entered
    "
Practical  Intentional Rounding,"
        Users to complete Height and Weight following data set.
        Show delegates the Nurse Rounding from Adult Quick View.
           Click the Nurse rounding assessment
           Get delegates to enter own values
           Show how conditional fields work – depending on the value selected this may generate further fields to be completed.
           Click Green tick (sign) to save details entered
            Complete Activities of daily living from Adult Quick View
            Only complete one of the below as an example
           Activity
           Patient safety Management/advice
           Nutrition ADL (activity for daily living)
           Hygiene ADL
           Oral Health Assessment
           Click Green tick (sign) to save details entered

            Complete the Gastrointestinal Assessment from Adult System Assessments
           Click on Adult System assessments band
           Select Gastrointestinal. 
           Demo the Bristol Stool Chart here – to reinforce how to complete this short assessment
           Click the Stool Type in Blue to show the Type grades available to users
           Trainers Note: Continue talking through the scenario - now that we have documented some stool info, we will move on to fluid balance to record some fluid input/output that Patient 1 has been to the toilet and had some fluids to drink
           Highlight – The stool value entry will pull through into the Fluid Balance chart
           Click on the Fluid Balance - Explain the screen with the timeframes and the columns view Input/Output
           Demo an input of your choice to give delegates an overview on how to record – get them to do a practical on the scenario of a basic example
           Delegates to record at 7 am the Patient had some Oral intake of tea (200ml) and then at 8 am patient went to toilet Urine voided (50 ml)
           Click Green tick (sign) to save details entered
           Explain the Today’s Intake at the top and how it displays the totals and the Balance also incorporate that they will be able to see todays and yesterday’s
           Explain the orientation of the chart – the view at default is on the current date & time and scroll to the right to view the past date & time
           Show users the chart will do a Day shift total at 12:00 hrs, a Night shift total 00:00 hrs and a 24-Hour Total
           Allow delegates to spend some time here to navigate and familiarise with the chart. Bring to focus blood output/vomit output etc and get them to document further values
           Click the Home icon to return to the patients record.
    "
Track Case notes on HIM Patient Information app,"
           Open HIM Patient Information app (Health information management)
           Log in using Smart card.
           Click on search icon next to patient name and find their hca Patient
           Input in the requesting location field (ward B6) and request type (acute admission)
           Input date and time required on the left
           Click Send Request
           Complete note in contents to give more information
           Click Save
           Casenotes have been requested
            This can also be done via the HIM Tracking Application and selecting the patient information request button.
    "
Request Case Notes on HIM Patient Information app ,"
           Open the HIM Tracking app.
           Log in using smart card.
           Search for HCA Patient using the search bar and select the relevant encounter.
           Any patient notes will be displayed on the right with the current location shown.
           Right click on the Case note you wish to track and select Quick update, selected records location.
           Use the Location view to find your area. Find ward RBH B6 and select.
           The location will now display with the new location selected.
           To add a note to this, select the Add/display notes icon on the toolbar.
           Type in the exact location – in ward cupboard and select the save icon. 
            This note will now display on the patients blue banner.
    "
Loggin on Overview ward clerk duties,"
           Select the Access Management office icon in organiser toolbar.
           Overview of PM Office, (Conversations, Bed board, worklists)
           Show quick links to other systems.

    "
Admit a Patient as ward clerk,"    Under Conversations select Inpatient Non-Elective Admission
           Complete Person Search – Patient 1 (if using smart card enter forename, surname, gender and DOB)
           Click Add encounter
           Type in Facility name – Royal Blackburn Hospital and select details RBH LEV 2 and use ward RBH B6 
           Complete mandatory fields (Yellow) as required, including selecting bed from Bedboard
           Click OK. Patient is now admitted
             The labels and wristband popup will automatically display on Admission. Follow steps below to print adhoc wristbands and label"
Use the Bedboard. as ward clerk," 
        Click the Bedboard band on the left,
        Find ward B6, RBH, LEVEL 2, RBH B6
        This will display all patient currently admitted to the ward. 
    "
Transfer a Patient – Patient 1 as ward clerk,"    Demo to delegate do not allow them to transfer their patients 
           Right click their patient 1, hover over conversations and select transfer.
           Complete mandatory fields as required including selecting bed from Bedboard tab. Check the Miyaflow bed confirmation box at the bottom so see if a specific bed has been recommended from the bed management team. 
           Click Ok, Patient has now been transferred."
What are you?,I am a chatbot developed and owned by Nexus Nova.
How are you?,I am good. How are you doing?
How does a Health Care Assistant log in to PowerChart as an outpatient?,"A Health Care Assistant can log in to PowerChart, and the Imprivata single-sign-on system will automatically log the outpatient into their PowerChart account."
What is the purpose of the Organiser in PowerChart for an outpatient?,"The Organiser in PowerChart provides toolbars at the top of the screen, allowing the outpatient and Health Care Assistant to navigate and access various functions."
How can an outpatient and Health Care Assistant change their Organiser view and MPages selection to their preferred one?,An outpatient and Health Care Assistant can change their Organiser view and MPages selection to their preferred one by going to View > My Experience > Home > Nurse > Save. Keep in mind that you might need to exit the application and log back in to see the changes.
What is the purpose of the Ambulatory Organiser in PowerChart for an outpatient and Health Care Assistant?,"The Ambulatory Organiser in PowerChart provides a comprehensive view of outpatient clinic schedules for ambulatory physicians and their staff, including Health Care Assistants."
How can an outpatient and Health Care Assistant configure the Ambulatory Organiser to display specific clinics or locations?,"To configure the Ambulatory Organiser, an outpatient and Health Care Assistant can follow these steps: From the Day View tab, click the 'patients for: no resource selected' drop-down, select today's date from the calendar, type the desired search term (e.g., clinic name) and click Apply."
How can an outpatient and Health Care Assistant change a patient's status to 'With Nurse' in Ambulatory Organiser?,"To change a patient's status to 'With Nurse,' an outpatient and Health Care Assistant can select the patient's row and update the status. The color of the row will change to indicate the updated status."
How can an outpatient and Health Care Assistant record a patient's vital signs in PowerChart?,"To record a patient's vital signs in PowerChart, an outpatient and Health Care Assistant can select the Vital Signs component, double-click an empty field under the date/time column, enter the measurements, and sign the form."
How can an outpatient and Health Care Assistant record a urinalysis result in PowerChart?,"To record a urinalysis result, an outpatient and Health Care Assistant can go to the Vital Signs component, select the Point of Care Tests band, click Urinalysis, input the values, and save the recording. The result can be viewed and managed through the Recent Results tab."
How can an outpatient and Health Care Assistant view scanned images and clinical photos in PowerChart?,"To view scanned images and clinical photos, an outpatient and Health Care Assistant can select the Clinical Images component and double-click the desired document or image to view it."
How can an outpatient and Health Care Assistant view home medications and clinic prescriptions in PowerChart?,"To view home medications and clinic prescriptions, an outpatient and Health Care Assistant can click the Home Meds component to see patient's home medications documented by clinicians and pharmacy. To view all patient's medications, they can select the Medications and medical devices component."
How can an outpatient and Health Care Assistant document procedures performed in a clinic visit?,"To document procedures performed in a clinic visit, an outpatient and Health Care Assistant can select the This Visit Procedures component, click +Add, select the procedure from the list, provide details and comments, and click OK."
How can an outpatient and Health Care Assistant view outpatient appointments in PowerChart?,"To view outpatient appointments, an outpatient and Health Care Assistant can open the left menu, click on Appointments, and explore future and past appointments, including cancellations and no-shows (DNAs)."
